mode,view_key,H_trained,report_step,model,use_dyn,MAE_mean,MAE_std,RMSE_mean,RMSE_std,MAPE_mean,MAPE_std,keep_mean
C_traffic_time_query,traffic_time_weather_query,36,36,ARIMA,False,4.513814449310303,0.0,7.000955104827881,0.0,0.1857883632183075,0.0,100.0
C_traffic_time_query,traffic_time_weather_query,36,36,CausalSTGCN,True,4.056165313720703,0.0314319986445382,6.276854515075684,0.06110720386888642,0.1642887681722641,0.001506829139747506,100.0
C_traffic_time_query,traffic_time_weather_query,36,36,DCRNN,False,4.472036075592041,0.011464344009081374,6.972625637054444,0.024322979155619415,0.18970082700252533,0.0007888298726770721,100.0
C_traffic_time_query,traffic_time_weather_query,36,36,HA,False,4.366766452789307,0.0,6.768595218658447,0.0,0.18092548847198486,0.0,100.0
C_traffic_time_query,traffic_time_weather_query,36,36,LastValue,False,6.927804946899414,0.0,10.531035423278809,0.0,0.26274025440216064,0.0,100.0
D_traffic_causal,traffic_only,12,12,ARIMA,False,4.06311559677124,0.0,6.376037120819092,0.0,0.16455253958702087,0.0,100.0
D_traffic_causal,traffic_only,12,12,CausalSTGCN,True,4.460480690002441,0.1021652052866242,7.022061061859131,0.176666731231597,0.17653446793556213,0.005377992342664133,100.0
D_traffic_causal,traffic_only,12,12,DCRNN,False,4.770048809051514,0.022470968369393864,7.217372989654541,0.04618421006466038,0.19105124771595,0.001217900355559197,100.0
D_traffic_causal,traffic_only,12,12,HA,False,4.389371395111084,0.0,6.7794318199157715,0.0,0.17981813848018646,0.0,100.0
D_traffic_causal,traffic_only,12,12,LastValue,False,4.8844895362854,0.0,7.872481346130371,0.0,0.18883347511291504,0.0,100.0
D_traffic_causal,traffic_only,36,12,ARIMA,False,4.085697650909424,0.0,6.4136528968811035,0.0,0.16608335077762604,0.0,100.0
D_traffic_causal,traffic_only,36,12,CausalSTGCN,True,4.263056468963623,0.06023902502052106,6.6528623580932615,0.08248519843336292,0.16815793216228486,0.0026417914369322244,100.0
D_traffic_causal,traffic_only,36,12,DCRNN,False,4.730054759979248,0.009575281010538986,7.179628944396972,0.02100091332830011,0.19106291532516478,0.0014735552065220188,100.0
D_traffic_causal,traffic_only,36,12,HA,False,4.420600891113281,0.0,6.825934410095215,0.0,0.18181109428405762,0.0,100.0
D_traffic_causal,traffic_only,36,12,LastValue,False,4.908753871917725,0.0,7.917966842651367,0.0,0.1903935670852661,0.0,100.0
D_traffic_causal,traffic_only,36,36,ARIMA,False,4.513814449310303,0.0,7.000955104827881,0.0,0.1857883632183075,0.0,100.0
D_traffic_causal,traffic_only,36,36,CausalSTGCN,True,4.719610691070557,0.12961017520286272,7.393920993804931,0.21967723333128794,0.18802272975444795,0.007417667671874258,100.0
D_traffic_causal,traffic_only,36,36,DCRNN,False,5.909921073913575,0.025389713289127744,8.773102378845214,0.03493009861277458,0.23206199407577516,0.003060467411836718,100.0
D_traffic_causal,traffic_only,36,36,HA,False,4.366766452789307,0.0,6.768595218658447,0.0,0.18092548847198486,0.0,100.0
D_traffic_causal,traffic_only,36,36,LastValue,False,6.927804946899414,0.0,10.531035423278809,0.0,0.26274025440216064,0.0,100.0
E_traffic_time_causal,traffic_time,12,12,ARIMA,False,4.06311559677124,0.0,6.376037120819092,0.0,0.16455253958702087,0.0,100.0
E_traffic_time_causal,traffic_time,12,12,CausalSTGCN,True,3.816081714630127,0.07073178115215116,6.036329555511474,0.1414096332204364,0.15015354454517366,0.004522139176541272,100.0
E_traffic_time_causal,traffic_time,12,12,DCRNN,False,3.906547117233276,0.007873497802906672,6.039431762695313,0.027894342491962494,0.15999845564365386,0.0009181820981740656,100.0
E_traffic_time_causal,traffic_time,12,12,HA,False,4.389371395111084,0.0,6.7794318199157715,0.0,0.17981813848018646,0.0,100.0
E_traffic_time_causal,traffic_time,12,12,LastValue,False,4.8844895362854,0.0,7.872481346130371,0.0,0.18883347511291504,0.0,100.0
E_traffic_time_causal,traffic_time,36,12,ARIMA,False,4.085697650909424,0.0,6.4136528968811035,0.0,0.16608335077762604,0.0,100.0
E_traffic_time_causal,traffic_time,36,12,CausalSTGCN,True,3.7307777404785156,0.05740056712903879,5.72342700958252,0.05331212462089142,0.14611395299434662,0.0023491022846571707,100.0
E_traffic_time_causal,traffic_time,36,12,DCRNN,False,3.903425931930542,0.013052610434461664,6.042247486114502,0.019570781513433576,0.16337591409683228,0.0008084457252281599,100.0
E_traffic_time_causal,traffic_time,36,12,HA,False,4.420600891113281,0.0,6.825934410095215,0.0,0.18181109428405762,0.0,100.0
E_traffic_time_causal,traffic_time,36,12,LastValue,False,4.908753871917725,0.0,7.917966842651367,0.0,0.1903935670852661,0.0,100.0
E_traffic_time_causal,traffic_time,36,36,ARIMA,False,4.513814449310303,0.0,7.000955104827881,0.0,0.1857883632183075,0.0,100.0
