snapshot_idx,snapshot_end_time,lag,edge_count,edge_density,edge_jaccard,physical_recall,dynamic_precision,mean_edge_weight,max_edge_weight
9,863,3,80,0.00032064128256513024,0.06292517006802721,0.06788990825688074,0.4625,0.053332339972257614,0.2959945499897003
10,959,1,202,0.0008096192384769539,0.17823343848580442,0.20733944954128442,0.5594059405940595,0.17083309590816498,1.0
10,959,2,265,0.001062124248496994,0.16883116883116883,0.21467889908256882,0.44150943396226416,0.13888555765151978,0.9532269835472107
10,959,3,87,0.00034869739478957915,0.07482993197278912,0.08073394495412844,0.5057471264367817,0.05801888182759285,0.33055776357650757
11,1055,1,189,0.0007575150300601202,0.16323296354992076,0.1889908256880734,0.544973544973545,0.173490971326828,0.8730220198631287
11,1055,2,275,0.0011022044088176352,0.18668596237337193,0.23669724770642203,0.4690909090909091,0.14827468991279602,1.0
11,1055,3,89,0.0003567134268537074,0.07640067911714771,0.08256880733944955,0.5056179775280899,0.05274319276213646,0.32344773411750793
12,1151,1,190,0.0007615230460921844,0.17038216560509553,0.1963302752293578,0.5631578947368421,0.1907886266708374,0.9215163588523865
12,1151,2,283,0.0011342685370741483,0.18794835007173602,0.24036697247706423,0.4628975265017668,0.16858863830566406,1.0
12,1151,3,85,0.0003406813627254509,0.06779661016949153,0.07339449541284404,0.47058823529411764,0.05747031047940254,0.33630335330963135
13,1247,1,206,0.0008256513026052105,0.17711598746081506,0.20733944954128442,0.5485436893203883,0.18634459376335144,0.8705319166183472
13,1247,2,258,0.001034068136272545,0.17914831130690162,0.22385321100917432,0.4728682170542636,0.15533381700515747,1.0
13,1247,3,91,0.0003647294589178357,0.07251264755480608,0.07889908256880734,0.4725274725274725,0.043397072702646255,0.16633597016334534
14,1343,1,221,0.0008857715430861723,0.17304747320061256,0.20733944954128442,0.5113122171945701,0.19741171598434448,0.9581896662712097
14,1343,2,250,0.001002004008016032,0.1760355029585799,0.21834862385321102,0.476,0.15485352277755737,1.0
14,1343,3,70,0.00028056112224448897,0.0658578856152513,0.06972477064220184,0.5428571428571428,0.05531563237309456,0.22522136569023132
15,1439,1,208,0.0008336673346693386,0.16024653312788906,0.1908256880733945,0.5,0.20311667025089264,0.8568588495254517
15,1439,2,261,0.0010460921843687375,0.187039764359352,0.23302752293577983,0.48659003831417624,0.13149483501911163,1.0
15,1439,3,79,0.00031663326653306616,0.07032590051457976,0.07522935779816514,0.5189873417721519,0.047497883439064026,0.167960062623024
16,1535,1,211,0.000845691382765531,0.16486902927580893,0.1963302752293578,0.5071090047393365,0.18124493956565857,0.7739675641059875
16,1535,2,267,0.0010701402805611223,0.18887262079062958,0.23669724770642203,0.48314606741573035,0.11559591442346573,1.0
16,1535,3,76,0.00030460921843687374,0.0706896551724138,0.07522935779816514,0.5394736842105263,0.04387172311544418,0.19775085151195526
17,1631,1,227,0.0009098196392785571,0.17682926829268292,0.21284403669724772,0.5110132158590308,0.16996099054813385,0.7233443856239319
17,1631,2,263,0.0010541082164328658,0.18998527245949925,0.23669724770642203,0.49049429657794674,0.12252219021320343,1.0
17,1631,3,75,0.0003006012024048096,0.06712564543889846,0.07155963302752294,0.52,0.04717555269598961,0.31607452034950256
18,1727,1,212,0.0008496993987975952,0.17729393468118196,0.20917431192660552,0.5377358490566038,0.15819229185581207,0.7109338045120239
18,1727,2,286,0.0011462925851703407,0.19225251076040173,0.24587155963302754,0.46853146853146854,0.10680045187473297,1.0
18,1727,3,81,0.0003246492985971944,0.07008547008547009,0.07522935779816514,0.5061728395061729,0.038289833813905716,0.2823013365268707
19,1823,1,213,0.0008537074148296593,0.17337461300309598,0.20550458715596331,0.5258215962441315,0.14326111972332,0.6461470723152161
19,1823,2,279,0.0011182364729458918,0.19420289855072465,0.24587155963302754,0.48028673835125446,0.10652979463338852,1.0
19,1823,3,88,0.0003527054108216433,0.07836456558773425,0.08440366972477065,0.5227272727272727,0.03961723670363426,0.2654173672199249
20,1919,1,218,0.0008737474949899799,0.17024539877300612,0.2036697247706422,0.5091743119266054,0.15597425401210785,0.7697328925132751
20,1919,2,278,0.0011142284569138276,0.20497803806734993,0.25688073394495414,0.5035971223021583,0.12222743034362793,1.0
20,1919,3,88,0.0003527054108216433,0.07288135593220339,0.07889908256880734,0.48863636363636365,0.049742065370082855,0.27805835008621216
21,2015,1,202,0.0008096192384769539,0.1563467492260062,0.1853211009174312,0.5,0.19371896982192993,0.8211447596549988
21,2015,2,298,0.0011943887775551101,0.22707423580786026,0.28623853211009176,0.5234899328859061,0.14238646626472473,1.0
21,2015,3,88,0.0003527054108216433,0.06925675675675676,0.07522935779816514,0.4659090909090909,0.05364823341369629,0.2896537780761719
22,2111,1,213,0.0008537074148296593,0.17519379844961241,0.20733944954128442,0.5305164319248826,0.22883230447769165,0.9989070296287537
22,2111,2,282,0.0011302605210420842,0.2055393586005831,0.25871559633027524,0.5,0.17298926413059235,1.0
22,2111,3,90,0.00036072144288577156,0.06902356902356903,0.07522935779816514,0.45555555555555555,0.06106707081198692,0.2999299466609955
23,2207,1,214,0.0008577154308617235,0.1694915254237288,0.2018348623853211,0.514018691588785,0.22973568737506866,0.8825033903121948
23,2207,2,293,0.0011743486973947897,0.20923520923520925,0.26605504587155965,0.4948805460750853,0.16868546605110168,1.0
23,2207,3,87,0.00034869739478957915,0.07666098807495741,0.08256880733944955,0.5172413793103449,0.061617687344551086,0.3001255989074707
24,2303,1,223,0.0008937875751503006,0.17073170731707318,0.20550458715596331,0.5022421524663677,0.20869503915309906,0.822064220905304
24,2303,2,296,0.0011863727454909819,0.20833333333333334,0.26605504587155965,0.48986486486486486,0.16978274285793304,1.0
24,2303,3,81,0.0003246492985971944,0.07560137457044673,0.08073394495412844,0.5432098765432098,0.057800211012363434,0.30537012219429016
25,2399,1,227,0.0009098196392785571,0.16792738275340394,0.2036697247706422,0.4889867841409692,0.21156787872314453,0.9034723043441772
25,2399,2,294,0.0011783567134268538,0.21770682148040638,0.27522935779816515,0.5102040816326531,0.16742290556430817,1.0
25,2399,3,75,0.0003006012024048096,0.06712564543889846,0.07155963302752294,0.52,0.06218353286385536,0.33028721809387207
