scenario,group,step,horizon_minutes,y_true_mean,dynamic_factual_mean,dynamic_cf_mean,dynamic_delta_mean,static_factual_mean,static_cf_mean,static_delta_mean
query_shock,treated,15,225,32.80322265625,32.00168991088867,32.03010559082031,0.02841639518737793,32.04207229614258,32.047637939453125,0.005568027496337891
query_shock,treated,16,240,34.29316329956055,32.23702621459961,32.268428802490234,0.031402587890625,32.33679962158203,32.33870315551758,0.0019006729125976562
query_shock,treated,17,255,35.730079650878906,32.733116149902344,32.77519607543945,0.042079925537109375,32.642520904541016,32.63738250732422,-0.005141019821166992
query_shock,treated,18,270,35.364662170410156,33.07467269897461,33.11552047729492,0.04084515571594238,32.96921157836914,32.960914611816406,-0.008294820785522461
query_shock,treated,19,285,33.25902557373047,33.51903533935547,33.559364318847656,0.04033207893371582,33.41410827636719,33.40949249267578,-0.004616260528564453
query_shock,treated,20,300,33.00138854980469,33.9461669921875,33.98234558105469,0.03617715835571289,33.81118392944336,33.809715270996094,-0.0014696121215820312
query_shock,treated,21,315,34.00834655761719,34.44771957397461,34.483909606933594,0.03618788719177246,34.187442779541016,34.178260803222656,-0.009180307388305664
query_shock,treated,22,330,35.46929931640625,35.056453704833984,35.09556198120117,0.03910660743713379,34.659507751464844,34.652191162109375,-0.007317781448364258
query_shock,treated,23,345,34.34074401855469,35.68169403076172,35.724586486816406,0.0428922176361084,35.187225341796875,35.19063949584961,0.0034139156341552734
query_shock,treated,24,360,34.60608673095703,36.27802276611328,36.33244323730469,0.05441856384277344,35.73475646972656,35.754234313964844,0.019479751586914062
query_shock,treated,25,375,35.15169906616211,36.89064025878906,36.937652587890625,0.047011613845825195,36.345924377441406,36.361045837402344,0.015116214752197266
query_shock,treated,26,390,36.83244323730469,37.651878356933594,37.70506286621094,0.05318331718444824,36.961341857910156,36.96525955200195,0.00391840934753418
query_shock,treated,27,405,37.90019226074219,38.23420715332031,38.280941009521484,0.046736955642700195,37.59438705444336,37.596397399902344,0.002012968063354492
query_shock,treated,28,420,38.91992950439453,38.82540512084961,38.87440490722656,0.04900097846984863,38.24547576904297,38.24313735961914,-0.0023407936096191406
query_shock,treated,29,435,39.5797119140625,39.38636016845703,39.44442367553711,0.05806589126586914,38.766902923583984,38.78046798706055,0.013566255569458008
query_shock,treated,30,450,39.85813522338867,39.787445068359375,39.848655700683594,0.061212778091430664,39.24940872192383,39.248291015625,-0.00112152099609375
query_shock,treated,31,465,40.814353942871094,40.251094818115234,40.3094482421875,0.05835270881652832,39.70318603515625,39.71738052368164,0.01419830322265625
query_shock,treated,32,480,40.24888610839844,40.584678649902344,40.640663146972656,0.0559840202331543,40.043697357177734,40.06499481201172,0.02129817008972168
query_shock,treated,33,495,40.83173751831055,40.833351135253906,40.881103515625,0.047754764556884766,40.30707550048828,40.32189178466797,0.014814615249633789
query_shock,treated,34,510,40.810768127441406,41.10844039916992,41.159934997558594,0.05149030685424805,40.54301452636719,40.5589599609375,0.015949249267578125
query_shock,treated,35,525,39.919776916503906,41.360504150390625,41.413330078125,0.05282855033874512,40.71186828613281,40.73920440673828,0.02733588218688965
query_shock,treated,36,540,40.536865234375,41.55503845214844,41.61648941040039,0.06145167350769043,40.894561767578125,40.91693115234375,0.022369861602783203
query_shock,all_nodes,1,15,28.482797622680664,28.202966690063477,28.2042179107666,0.0012529640225693583,28.263641357421875,28.263652801513672,1.0501861652301159e-05
query_shock,all_nodes,2,30,28.64682388305664,28.05851173400879,28.059600830078125,0.001093030907213688,28.1716251373291,28.171384811401367,-0.00023938369122333825
query_shock,all_nodes,3,45,28.9317684173584,27.930767059326172,27.93189239501953,0.0011241817846894264,28.036462783813477,28.036312103271484,-0.00015107727085705847
query_shock,all_nodes,4,60,28.48590660095215,27.791851043701172,27.79290199279785,0.0010508537525311112,27.957828521728516,27.95782470703125,-2.7923583729716484e-06
query_shock,all_nodes,5,75,27.911888122558594,27.689695358276367,27.69060516357422,0.0009082946926355362,27.921642303466797,27.921415328979492,-0.00022558594355359674
query_shock,all_nodes,6,90,28.040922164916992,27.569868087768555,27.570789337158203,0.0009206046815961599,27.82611656188965,27.82602310180664,-9.344863792648539e-05
query_shock,all_nodes,7,105,27.93071937561035,27.41108512878418,27.41194725036621,0.0008614807156845927,27.729228973388672,27.729276657104492,4.915237514069304e-05
